pair_id,sentence_id_a,lang_a,lang_b,text_a,text_b,similarity_score,match_label,notes,auditor
9_10,3,Chinese,Japanese,孩子在花园里玩耍。,子供が庭で遊んでいる。,0.9933,,,
33_34,9,Chinese,Japanese,山上覆盖着雪。,山は雪に覆われている。,0.9933,,,
20_21,6,English,Chinese,She reads a book every night before sleeping.,她每晚睡前读一本书。,0.9931,,,
34_35,9,Japanese,Russian,山は雪に覆われている。,Гора покрыта снегом.,0.9926,,,
32_34,9,English,Japanese,The mountain is covered with snow.,山は雪に覆われている。,0.9916,,,
33_35,9,Chinese,Russian,山上覆盖着雪。,Гора покрыта снегом.,0.9915,,,
40_42,11,English,Japanese,The market opens every Sunday morning.,市場は毎週日曜日の朝に開く。,0.9906,,,
72_75,19,English,Russian,The old bridge was built two centuries ago.,Старый мост был построен два века назад.,0.9899,,,
32_35,9,English,Russian,The mountain is covered with snow.,Гора покрыта снегом.,0.9885,,,
65_66,17,Chinese,Japanese,学生们通过了考试。,生徒たちは試験に合格した。,0.9884,,,
20_23,6,English,Russian,She reads a book every night before sleeping.,Она читает книгу каждую ночь перед сном.,0.9874,,,
32_33,9,English,Chinese,The mountain is covered with snow.,山上覆盖着雪。,0.9873,,,
36_39,10,English,Russian,Children learn languages faster than adults.,"Дети учат языки быстрее, чем взрослые.",0.9872,,,
16_18,5,English,Japanese,The library opens at nine in the morning.,図書館は朝9時に開く。,0.9866,,,
12_15,4,English,Russian,Birds fly south in winter.,Птицы летят на юг зимой.,0.9856,,,
28_31,8,English,Russian,Doctors work hard to save lives.,"Врачи усердно работают, чтобы спасать жизни.",0.9855,,,
2_3,1,Japanese,Russian,太陽は東から昇る。,Солнце восходит на востоке.,0.9853,,,
0_3,1,English,Russian,The sun rises in the east.,Солнце восходит на востоке.,0.9853,,,
18_19,5,Japanese,Russian,図書館は朝9時に開く。,Библиотека открывается в девять утра.,0.9851,,,
25_27,7,Chinese,Russian,火车准时到达车站。,Поезд прибывает на станцию вовремя.,0.9843,,,
